PUMA,Pop within 1/4 Mile of Subway Stations and SBS Stops,Total Pop from Census 2020,Percent,
3603701,26984,113700,24%,
3603702,48787,148709,33%,
3603703,15884,123837,13%,
3603704,54384,130351,42%,
3603705,70314,178035,39%,
3603706,101866,134660,76%,
3603707,82266,140204,59%,
3603708,83601,144789,58%,
3603709,82763,198808,42%,
3603710,106740,159561,67%,
3603801,159204,188800,84%,
3603802,104731,127022,82%,
3603803,103838,134068,77%,
3603804,91542,122143,75%,
3603805,187952,231983,81%,
3603806,166214,207780,80%,
3603807,143415,184640,78%,
3603808,156151,163839,95%,
3603809,151632,164237,92%,
3603810,136356,169739,80%,
3603901,33757,164508,21%,
3603902,26816,141576,19%,
3603903,9281,189663,5%,
3604001,86929,176207,49%,
3604002,81888,136869,60%,
3604003,94042,153236,61%,
3604004,86688,152369,57%,
3604005,45871,115390,40%,
3604006,94129,137748,68%,
3604007,69125,134109,52%,
3604008,76395,169643,45%,
3604009,70254,204005,34%,
3604010,51576,143132,36%,
3604011,77850,110492,70%,
3604012,64272,155282,41%,
3604013,35320,133143,27%,
3604014,66760,176543,38%,
3604015,85044,162557,52%,
3604016,74551,156693,48%,
3604017,125925,198527,63%,
3604018,46362,120104,39%,
3604101,81331,186153,44%,
3604102,62893,189960,33%,
3604103,51669,270930,19%,
3604104,0,122366,0%,
3604105,1,199510,0%,
3604106,45162,164781,27%,
3604107,61494,153099,40%,
3604108,48271,119706,40%,
3604109,86923,162153,54%,
3604110,32722,179288,18%,
3604111,56240,151876,37%,
3604112,29713,251096,12%,
3604113,33990,130378,26%,
3604114,52159,124185,42%,